INVOICE_NO,vcurr Net Revenue,vcurr Gross Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue
VKGS-202203,-33526,-33525.79566,2/8/2024 0:00,-36342,-36341.9625
VKGS-202204,-12333,-12333.00304,2/8/2024 0:00,-13369,-13368.9753
VKGS-202205,-593,-592.9001845,2/13/2024 0:00,-643,-642.7038
VKGS-202206,-11912,-11911.87795,2/15/2024 0:00,-12912,-12912.4757
VKGS-202207,-9192,-9191.702214,2/16/2024 0:00,-9964,-9963.8052
VKGS-202210,-13420,-13420.00046,3/20/2024 0:00,-14534,-14533.8605
VKGS-202211,-5884,-5883.923638,3/21/2024 0:00,-6372,-6372.2893
VKGS-202212,-104,-104,3/27/2024 0:00,-113,-112.632
VKGS-202218,-34413,-34412.58094,4/12/2024 0:00,-37200,-37200
VKGS-202219,-278,-278.1577425,5/27/2024 0:00,-298,-298.1851
VKGS-202220,-3657,-3656.999908,6/24/2024 0:00,-3968,-3967.8449
VKGS-202221,-4360,-4359.599908,6/24/2024 0:00,-4730,-4730.1659
VKGS-202222,-2951,-2951.418301,7/2/2024 0:00,-3161,-3160.969
VKGS-202223,-11001,-11001.05509,7/2/2024 0:00,-11782,-11782.13
VKGS-202224,-6916,-6915.602521,7/24/2024 0:00,-7407,-7406.6103
VKGS-202225,-6175,-6174.675162,8/27/2024 0:00,-6687,-6687.1732
VKGS-202226,-583,-582.6395852,9/5/2024 0:00,-646,-646.1473
VKGS-202227,-46204,-46203.81416,9/10/2024 0:00,-51240,-51240.0299
VKGS-202228,-4136,-4136.450135,9/10/2024 0:00,-4587,-4587.3232
VKGS-202232,-78480,-78479.77941,11/26/2024 0:00,-85386,-85386
VKGS-202233,-14009,-14009.39555,12/10/2024 0:00,-14794,-14793.9217
VKGS-202234,-21614,-21614.03305,12/10/2024 0:00,-22824,-22824.4189
VKR-136083,121795,121794.67873303167,1/5/2024 0:00,134583,134583.12
VKR-136085,40760,40759.511221719455,1/4/2024 0:00,45039,45039.2599
VKR-136086,19554,19553.633122171945,1/3/2024 0:00,21607,21606.7646
VKR-136087,350,349.8275113122172,1/5/2024 0:00,387,386.5594
VKR-136088,45109,45109.34054298643,1/2/2024 0:00,49846,49845.8213
VKR-136089,29664,29663.56235294118,1/5/2024 0:00,32778,32778.2364
VKR-136090,39013,39012.766153846154,1/5/2024 0:00,43109,43109.1066
VKR-136091,40046,40046.01656108597,1/5/2024 0:00,44251,44250.8483
VKR-136092,24310,24309.906968325795,1/8/2024 0:00,26862,26862.447200000002
VKR-136093,10419,10418.531583710408,1/8/2024 0:00,11512,11512.4774
VKR-136094,165,165.00009049773755,1/5/2024 0:00,182,182.3251
VKR-136095,2586,2586.0413574660633,1/2/2024 0:00,2858,2857.5757
VKR-136096,2720,2720.265882352941,1/3/2024 0:00,3006,3005.8938
VKR-136099,641388,641388.3800904978,1/10/2024 0:00,708734,708734.16
VKR-136100,35321,35320.61366515837,1/11/2024 0:00,39029,39029.2781
VKR-136101,13376,13375.724977375567,1/11/2024 0:00,14780,14780.1761
VKR-136102,1058,1057.5004524886879,1/9/2024 0:00,1169,1168.538
VKR-136103,4388,4387.764343891403,1/10/2024 0:00,4848,4848.4796
VKR-136104,580,579.9771945701358,1/11/2024 0:00,641,640.8748
VKR-136105,0,0.011493212669683258,1/11/2024 0:00,0,0.0127
VKR-136106,24450,24450.183167420815,1/11/2024 0:00,27017,27017.452400000002
VKR-136107,36624,36623.66515837104,1/10/2024 0:00,40469,40469.15
VKR-136108,92480,92480.03837104072,1/11/2024 0:00,102190,102190.4424
VKR-136109,5009,5009.345791855203,1/11/2024 0:00,5535,5535.3270999999995
VKR-136110,157,157.07719457013576,1/12/2024 0:00,174,173.5703
VKR-136111,40177,40176.691674208145,1/12/2024 0:00,44395,44395.2443
VKR-136112,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136113,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136114,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136115,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136116,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136117,11916,11915.837104072398,1/12/2024 0:00,13167,13167
VKR-136118,11916,11915.837104072398,1/12/2024 0:00,13167,13167
VKR-136119,11916,11915.837104072398,1/12/2024 0:00,13167,13167
VKR-136120,11916,11915.837104072398,1/12/2024 0:00,13167,13167
VKR-136121,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136122,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136123,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136124,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136125,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136126,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136127,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136128,11916,11915.837104072398,1/12/2024 0:00,13167,13167
VKR-136129,39697,39696.65158371041,1/12/2024 0:00,43865,43864.8
VKR-136130,21064,21064.058733031674,1/15/2024 0:00,23276,23275.7849
VKR-136131,8197,8196.543438914028,1/15/2024 0:00,9057,9057.1805
VKR-136132,26306,26306.410859728505,1/15/2024 0:00,29069,29068.584
VKR-136133,32508,32508.013484162893,1/15/2024 0:00,35921,35921.3549
VKR-136134,41533,41532.767239819004,1/15/2024 0:00,45894,45893.7078
VKR-136135,2593,2592.9815384615385,1/15/2024 0:00,2865,2865.2446
VKR-136136,38858,38858.47475113122,1/15/2024 0:00,42939,42938.6146
VKR-136137,37706,37705.51566,1/16/2024 0:00,41665,41664.5948
VKR-136138,43092,43092.01791855203,1/16/2024 0:00,47617,47616.6798
VKR-136139,23,22.5,1/16/2024 0:00,25,24.8625
VKR-136140,9505,9505.1019,1/16/2024 0:00,10503,10503.1376
VKR-136141,1,0.7134841628959276,1/16/2024 0:00,1,0.7884
VKR-136142,6776,6776.412669683258,1/16/2024 0:00,7488,7487.936
VKR-136143,1,1.4499547511312219,1/16/2024 0:00,2,1.6022
VKR-136144,142094,142093.79185520363,1/17/2024 0:00,157014,157013.64
VKR-136145,36792,36792.30588235294,1/17/2024 0:00,40655,40655.498
VKR-136146,11141,11141.204615384615,1/17/2024 0:00,12311,12311.031099999998
VKR-136147,22565,22564.73928,1/18/2024 0:00,24934,24934.0369
VKR-136148,13146,13146.150678733033,1/17/2024 0:00,14526,14526.496500000001
VKR-136149,12,11.507511312217195,1/17/2024 0:00,13,12.7158
VKR-136150,387,386.6607239819005,1/17/2024 0:00,427,427.2601
VKR-136152,19984,19984.008325791856,1/18/2024 0:00,22082,22082.3292
VKR-136153,4478,4478.176832579185,1/18/2024 0:00,4948,4948.3854
VKR-136154,5913,5912.552488687783,1/18/2024 0:00,6533,6533.3705
VKR-136155,17018,17018.00705882353,1/19/2024 0:00,18805,18804.8978
VKR-136156,37119,37118.54307692308,1/19/2024 0:00,41016,41015.9901
VKR-136157,37119,37118.54307692308,1/19/2024 0:00,41016,41015.9901
VKR-136158,37119,37118.54307692308,1/19/2024 0:00,41016,41015.9901
VKR-136159,36032,36031.514932126694,1/19/2024 0:00,39815,39814.824
VKR-136160,29522,29521.812217194572,1/19/2024 0:00,32622,32621.6025
VKR-136161,40760,40759.511221719455,1/22/2024 0:00,45039,45039.2599
VKR-136162,14978,14977.998371040725,1/22/2024 0:00,16551,16550.6882
VKR-136163,16798,16798.05701357466,1/22/2024 0:00,18562,18561.853
VKR-136164,4995,4995.002081447964,1/19/2024 0:00,5519,5519.4773000000005
VKR-136165,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136166,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136167,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136168,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136169,11916,11915.837104072398,1/22/2024 0:00,13167,13167
VKR-136170,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136171,11916,11915.837104072398,1/22/2024 0:00,13167,13167
VKR-136172,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136173,11916,11915.837104072398,1/22/2024 0:00,13167,13167
VKR-136174,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136175,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136176,11916,11915.837104072398,1/22/2024 0:00,13167,13167
VKR-136177,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136178,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136179,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136180,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136181,39697,39696.65158371041,1/22/2024 0:00,43865,43864.8
VKR-136182,51810,51810.433936651585,1/22/2024 0:00,57251,57250.5295
VKR-136183,5300,5300.002171945702,1/23/2024 0:00,5857,5856.5024
VKR-136184,57,56.7,1/23/2024 0:00,63,62.6535
VKR-136185,15742,15742.206515837106,1/24/2024 0:00,17395,17395.1382
VKR-136186,19482,19482.008054298643,1/24/2024 0:00,21528,21527.6189
VKR-136187,110,110.00009049773756,1/24/2024 0:00,122,121.5501
