INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY
VKGS-202203,-33526,2024-02-08 00:00:00,-36342,-36341.962499999994,-33525.795664206635,-12.784714136863899
VKGS-202204,-12333,2024-02-08 00:00:00,-13369,-13368.9753,-12333.003044280442,-5.9726231008905994
VKGS-202205,-593,2024-02-13 00:00:00,-643,-642.7038,-592.9001845018449,-0.04445205225999999
VKGS-202206,-11912,2024-02-15 00:00:00,-12912,-12912.475699999999,-11911.87795202952,-5.4093611676719995
VKGS-202207,-9192,2024-02-16 00:00:00,-9964,-9963.805199999999,-9191.702214022138,-3.5954679596605006
VKGS-202210,-13420,2024-03-20 00:00:00,-14534,-14533.8605,-13420.000461680518,-5.4310156674158
VKGS-202211,-5884,2024-03-21 00:00:00,-6372,-6372.2893,-5883.923638042475,-2.1955367562821
VKGS-202212,-104,2024-03-27 00:00:00,-113,-112.632,-104.00000000000001,-0.0036287389600000003
VKGS-202218,-34413,2024-04-12 00:00:00,-37200,-37200,-34412.58094357077,-0.00045359237000000004
VKGS-202219,-278,2024-05-27 00:00:00,-298,-298.1851,-278.15774253731337,-0.13710282975619997
VKGS-202220,-3657,2024-06-24 00:00:00,-3968,-3967.8449,-3656.9999078341016,-0.00045359237000000004
VKGS-202221,-4360,2024-06-24 00:00:00,-4730,-4730.1659,-4359.599907834102,-0.00045359237000000004
VKGS-202222,-2951,2024-07-02 00:00:00,-3161,-3160.969,-2951.418300653595,-1.0801304388336
VKGS-202223,-11001,2024-07-02 00:00:00,-11782,-11782.13,-11001.055088702147,-0.00045359237000000004
VKGS-202224,-6916,2024-07-24 00:00:00,-7407,-7406.6103,-6915.6025210084035,-2.7814692361533
VKGS-202225,-6175,2024-08-27 00:00:00,-6687,-6687.173199999999,-6174.67516158818,-3.1979214628977
VKGS-202226,-583,2024-09-05 00:00:00,-646,-646.1473,-582.6395852119026,-0.00045359237000000004
VKGS-202227,-46204,2024-09-10 00:00:00,-51240,-51240.029899999994,-46203.8141568981,-23.4847041334367
VKGS-202228,-4136,2024-09-10 00:00:00,-4587,-4587.3232,-4136.450135256988,-1.7020055781036
VKGS-202232,-78480,2024-11-26 00:00:00,-85386,-85386,-78479.7794117647,-0.00045359237000000004
