INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY,$ Act Extended Cost,$ Std Extended Cost
VKGS-202161,-32502,2/7/2023 0:00,-35200,-35200,-32502.3084,-72.5747792,0,0
VKGS-202162,-1806,2/9/2023 0:00,-1956,-1955.8981,-1806.000092,-0.000453592,0,0
VKGS-202163,-1552,2/15/2023 0:00,-1680,-1680.3829,-1551.600092,-0.000453592,0,0
VKGS-202164,-5299,2/8/2023 0:00,-5739,-5738.5465,-5298.750231,-0.001360777,0,0
VKGS-202165,-724,2/24/2023 0:00,-784,-784.1363,-724.0409049,-0.000453592,0,0
VKGS-202166,-86952,2/28/2023 0:00,-94169,-94169.0195,-86952.00323,-47.34088227,-94250.348,-95328.2592
VKGS-202168,-1766,3/7/2023 0:00,-1876,-1875.7567,-1766.249247,-0.000453592,0,0
VKGS-202169,-502,3/9/2023 0:00,-533,-533.1238,-501.9998117,-0.000453592,0,0
VKGS-202175,-400,3/28/2023 0:00,-425,-424.6936,-399.8998117,-1.462835393,0,0
VKGS-202177,-3650,4/5/2023 0:00,-3971,-3971.4596,-3650.238603,-1.826484932,-4491.53,-3863.0637
VKGS-202178,-1299,4/6/2023 0:00,-1414,-1413.7249,-1299.379504,-0.000453592,0,0
VKGS-202180,-481,4/19/2023 0:00,-523,-522.8926,-480.5998162,-0.000453592,0,0
VKGS-202183,-3356,5/31/2023 0:00,-3685,-3685.4362,-3356.499271,-0.000453592,0,0
VKGS-202185,-405,7/10/2023 0:00,-444,-443.6147,-405.4978976,-0.000453592,0,0
VKGS-202186,-58432,7/10/2023 0:00,-63925,-63924.9,-58432.26691,-0.000453592,0,0
VKGS-202187,-1239,7/11/2023 0:00,-1356,-1355.7939,-1239.299726,-0.504181527,-1173.8251,-1234.5681
VKGS-202188,-3972,7/13/2023 0:00,-4345,-4345.0278,-3971.689031,-0.000453592,0,0
VKGS-202189,-10106,7/19/2023 0:00,-11056,-11056.2349,-10106.24762,-0.000453592,0,0
VKGS-202190,-4620,7/27/2023 0:00,-5054,-5054.2788,-4619.998903,-0.038101759,0,0
VKGS-202193,-346,10/9/2023 0:00,-367,-366.6788,-346.2500472,-0.221579873,0,0
VKGS-202196,-664,11/17/2023 0:00,-705,-705,-663.8418079,-0.226796185,0,0
VKGS-202197,-1498,12/18/2023 0:00,-1637,-1636.8769,-1497.600091,-0.816466266,0,0
VKGS-202198,-5453,12/19/2023 0:00,-5960,-5959.747,-5452.650503,-3.030251043,-5009.2114,-5431.2482
VKGS-202199,-19073,12/19/2023 0:00,-20847,-20847.0641,-19073.25169,-10.60487621,-17530.8499,-19009.3686
VKGS-202200,-2835,12/20/2023 0:00,-3099,-3098.6553,-2835.000274,-0.30617485,0,0
VKR-133262,6382,1/5/2023 0:00,6809,6809.4882,6381.900843486411,3.003239618,5004.0446,5964.7434
VKR-133263,15258,1/5/2023 0:00,16280,16280.1708,15257.892033739457,8.027001912,20264.72,22634.7405
VKR-133264,51560,1/3/2023 0:00,55015,55015.02870000001,51560.476757263365,24.19585532,44285.977399999996,48112.961299999995
VKR-133265,53695,1/3/2023 0:00,57293,57292.7005,53695.126991565136,24.179965982248998,52904.6681,54167.97289999999
VKR-133266,1428,1/3/2023 0:00,1524,1523.6762,1428.0001874414247,0.076203518,1267.6,1267.596
VKR-133268,24360,1/5/2023 0:00,25992,25992.1234,24360.00318650422,12.06497644,21439.8684,23222.6148
VKR-133269,17631,1/6/2023 0:00,18813,18812.7795,17631.470946579197,6.6776054341919995,15323.82,16350.5159
VKR-133270,4261,1/6/2023 0:00,4547,4546.5733,4261.080880974696,1.555259375,3918.72,4192.3284
VKR-133272,6750,1/6/2023 0:00,7202,7202.2509,6750.000843486411,0.449999918,2427.73,2439.162
VKR-133273,13624,1/6/2023 0:00,14537,14536.5431,13623.751733833178,5.960249101037001,13857.932299999999,14642.419699999999
VKR-133275,943,1/6/2023 0:00,1006,1006.1705,942.9901593252108,0.451669138,894.1423,885.738
VKR-133276,38003,1/9/2023 0:00,40550,40549.6371,38003.40871602624,17.30812776,38625.74,41213.6646
VKR-133277,17954,1/6/2023 0:00,19157,19157.3825,17954.43533270853,7.956549944720299,18724.7187,19686.6302
VKR-133278,7119,1/9/2023 0:00,7596,7595.974,7119.000937207124,2.947248176,6406.8885,6604.4739
VKR-133279,9137,1/9/2023 0:00,9749,9749.287,9137.101218,2.97823307,4986.8746,5964.7434
VKR-133280,37979,1/10/2023 0:00,40524,40523.732,37979.13027179007,13.166960962986598,46642.88,48801.7098
VKR-133281,38105,1/10/2023 0:00,40658,40658.4603,38105.39859418932,16.27332481,37981.84,39042.9598
VKR-133282,21539,1/9/2023 0:00,22982,22982.4447,21539.310871602625,10.70647637,25037.54,26196.3651
VKR-133283,38105,1/11/2023 0:00,40658,40658.4603,38105.39859418932,16.3664065,38618.65,40315.9015
VKR-133284,10107,1/11/2023 0:00,10784,10783.6493,10106.512933458294,4.445073684,9250.33,8891.9619
VKR-133287,50123,1/12/2023 0:00,53481,53481.0346,50122.80656044986,24.064009628782202,40089.1554,48022.6824
VKR-133288,50123,1/12/2023 0:00,53481,53481.0346,50122.80656044986,24.064009628782202,40212.4454,48022.6824
VKR-133289,29973,1/12/2023 0:00,31981,31981.1188,29972.93233364574,12.60074161,29539.407,35663.3653
VKR-133290,29973,1/12/2023 0:00,31981,31981.1188,29972.93233364574,12.65575329,29667.3595,34665.1548
VKR-133291,29902,1/12/2023 0:00,31906,31905.5716,29902.128959700094,13.17116123,25063.7716,30845.711
VKR-133292,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,6.978700049,17605.4101,20432.4098
VKR-133293,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,6.994707324,17795.9101,20432.4098
VKR-133294,14910,1/12/2023 0:00,15909,15909.0361,14910.061949390816,7.021700606,18097.3101,20432.4098
