INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue
VKGS-202218,-34413,4/12/2024 0:00,-37200,-37200,-34412.58094
VKR-136503,2873,4/2/2024 0:00,3106,3105.5689,2872.866697502313
VKR-136504,6304,4/2/2024 0:00,6815,6814.7279,6304.096114708604
VKR-136505,7316,4/2/2024 0:00,7908,7908.4641,7315.8779833487515
VKR-136506,8358,4/3/2024 0:00,9034,9034.4612,8357.503422756707
VKR-136507,14391,4/3/2024 0:00,15557,15556.6774,14391.005920444035
VKR-136508,31572,4/3/2024 0:00,34129,34129.0955,31571.781221091587
VKR-136509,20520,4/4/2024 0:00,22182,22182.1291,20520.008418131358
VKR-136510,34968,4/4/2024 0:00,37800,37800.4235,34968.01433857539
VKR-136511,8560,4/3/2024 0:00,9254,9253.7422,8560.353561517115
VKR-136512,41313,4/4/2024 0:00,44659,44659.3713,41313.016928769655
VKR-136513,385,4/4/2024 0:00,416,416.1852,385.00018501387603
VKR-136514,19008,4/8/2024 0:00,20548,20547.6564,19008.007770582793
VKR-136515,43160,4/8/2024 0:00,46655,46655.4387,43159.51776
VKR-136516,43160,4/8/2024 0:00,46655,46655.4387,43159.51776
VKR-136517,43160,4/8/2024 0:00,46655,46655.4387,43159.51776
VKR-136518,43160,4/8/2024 0:00,46655,46655.4387,43159.51776
VKR-136519,43160,4/8/2024 0:00,46655,46655.4387,43159.51776
VKR-136520,49631,4/8/2024 0:00,53652,53651.5655,49631.420444033305
VKR-136521,20520,4/9/2024 0:00,22182,22182.1291,20520.008418131358
VKR-136522,13558,4/9/2024 0:00,14656,14656.0901,13557.900185013876
VKR-136523,16451,4/9/2024 0:00,17784,17783.6756,16451.133765032377
VKR-136524,1361,4/9/2024 0:00,1471,1471.1876,1360.9506012950972
VKR-136525,4778,4/9/2024 0:00,5164,5164.4796,4777.501942645698
VKR-136526,2505,4/9/2024 0:00,2708,2708.1906,2505.264199814986
VKR-136527,4291,4/9/2024 0:00,4639,4638.72,4291.137835
VKR-136528,278,4/10/2024 0:00,301,300.6888,278.15800185013876
VKR-136529,12335,4/10/2024 0:00,13335,13334.5729,12335.40508788159
